,Sample_ID,Species,Sample_type,Location,Li_6,Li_7,Be,B,Mg,Al,Si,P,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Er,Yb,Lu,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Ca,Pr
27,F3,LF,Whole,SPG,4,111.8,NA,4415.9,1379052.9,2301550.1,10.6,9238.9,8,214.8,NA,82.4,1993.1,26805.3,19.2,400.4,2101.6,17564.8,2206.1,860.9,932.1,67074.8,23,0.2,3,73.6,37.8,161.2,0.1,12.6,2.9,3.6,14.1,2047.6,0,3.6,0.2,0,0,0,16.1,0.2,0.2,NA,5.8,5.6,60.8,0.1,0.1,15.8,14078.1,15978.1
28,F4,LF,Whole,SPG,4.4,119,NA,1258.3,562667.3,67527.4,2.2,6069,8.1,26.9,NA,53.2,1165.2,19880.3,19.2,150.7,884.3,8374,438,1577.4,557.9,42176.3,13.2,0.2,2.1,39.9,6.3,122.6,NA,8.4,0.8,2.9,16.5,120.2,0,0.2,0,0,NA,0,5,0.1,0.1,0.1,22.8,0.5,3.6,0.1,0,3.1,11374.1,1341.7
29,F5,LF,Whole,SPG,4,107.4,0.1,1209,552094.8,16241.3,1.7,5535.6,8.5,23.7,NA,181.3,1889.6,17267.7,21.1,125.9,871.9,10079.8,1023.6,2198.6,565.3,33269.4,35.9,0.1,1.6,38.1,1.8,259.1,0.1,89.7,1.6,2.5,11.9,141.9,0,0.1,0,0,NA,0,6.4,0.1,0.1,NA,6.6,0.7,3.5,0.1,0,2.8,8192.2,907.1
30,F6,LF,Whole,SPG,4.1,107.2,NA,1422.4,580141.7,2710.4,1.8,4878.8,5.3,17.5,NA,27.2,1336.4,7625.7,16.8,98.7,706,8638.3,581.6,1074.7,628.9,26557.6,6.4,0,1.3,33.3,9.3,344.7,NA,0.6,0.6,1.7,6.5,303.6,0,0.1,0,0,0,0.2,5.5,0.1,0.1,NA,2,1.1,3.8,0,0,4,7084.9,813.2
31,F7,LF,Whole,SPG,5,138.9,NA,1297.8,567736.2,17950.6,1.4,6070,6.5,23.2,NA,40.2,1147.6,13975.4,31.7,170.1,827,10857.1,1819.4,752.3,602.7,36297,9.7,0.1,1.9,42.3,9.7,226.9,NA,1.1,0.7,2.2,8.3,2256.7,0,0.2,0,0,0,0,5.9,0.1,0.1,NA,4.2,1.1,6.8,0.1,0,3.2,10078.6,1249
32,F8,LF,Whole,SPG,121.4,3377.4,NA,1580.2,677639.6,367271.1,3.4,4808.2,7.8,59,252.8,64.8,1248,14554.1,26,145.2,1053.4,8473.4,691.8,1310.7,718,30939.9,NA,NA,1.4,50,18.5,643,NA,15,2.1,1.9,7.8,3611,0,0.9,0.1,0,NA,0.2,10.8,0.1,0.1,NA,3.9,2.6,15.1,0.2,0.1,4.4,6744.7,4568.7
33,F9,LF,Whole,SPG,6.1,162.2,0,1597.7,671548.5,407566.3,3,10171.8,5.9,62.6,NA,21.9,1276,22979.5,61.9,304.2,1026.6,10131.3,1804.1,1196.6,546.9,68712.3,12.9,0.1,3.1,61.9,51.3,287.5,NA,1.9,2.5,3.8,9.9,182.4,0,0.5,0,0,0,0,8.3,0.1,0,NA,66.5,3.1,22.5,0.1,0,9,18268.8,3994.8
34,F10,LF,Whole,SPG,4.4,117.4,0.1,1305,569551.8,72973.9,14.1,6735.6,5,329.1,NA,49.7,1507.3,28243.9,33.6,199.3,1231.4,10800.4,1001.9,561.9,620.5,39424.8,11.6,NA,1.8,43.3,16.7,197.9,NA,9.3,3,1,8.9,197.5,0,6.7,0.2,0.3,0,0,6.7,0.1,0.1,NA,11.9,0.9,43.7,0.1,0.2,4.3,11091.1,30527.6
35,F11,LF,Whole,SPG,6.3,173.1,0.1,1459.3,584278.6,324892.4,16.4,6286.4,6.3,288,NA,58.2,1074.5,29829.5,30.5,191.9,1138.3,9708.8,1275.6,763.8,548.4,38242.9,12.6,0.2,1.9,36.5,8.7,263.9,NA,7.9,2.9,2,10.6,196.7,0,8.8,0.3,0.2,0,0,5.2,0.1,0.1,NA,18.6,1.1,45.5,0.3,0.1,5.5,11734.8,42006.2
36,MAG 1,Maggot,Whole,JF,0.5,12.2,3.3,114.7,390929.4,91357.3,112.1,1977.3,30.9,12824.6,NA,265.3,6869.7,168083.8,131.7,546.6,3338.6,28050,210.8,653.8,960.9,1580.4,35.8,0.1,0.1,10.6,3.9,3.6,0.2,3.6,0.4,0.2,11.3,706.6,0.1,178.3,5.5,4.4,0.5,0,15,0.1,0.4,1.3,52.6,1,13.3,0.1,3.6,2.3,285.2,792025.5
